Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Cruzeiro do Sul/AC,Sim,15/01/2020,89.072,,,
Rio Branco/AC,Não,,407.319,Não,,
Sena Madureira/AC,Não,,47.168,Não,,
Tarauacá/AC,Não,,43.730,Não,,
Feijó/AC,Não,,34.986,Não,,
Brasiléia/AC,Não,,27.123,Não,,
Senador Guiomard/AC,Não,,23.446,Não,,
Plácido de Castro/AC,Não,,20.147,Não,,
Xapuri/AC,Não,,19.866,Não,,
Rodrigues Alves/AC,Não,,19.767,Não,,
Marechal Thaumaturgo/AC,Não,,19.727,Não,,
Mâncio Lima/AC,Não,,19.643,Não,,
Porto Acre/AC,Não,,19.141,Não,,
Epitaciolândia/AC,Não,,18.979,Não,,
Acrelândia/AC,Não,,15.721,Não,,
Porto Walter/AC,Não,,12.497,Não,,
Capixaba/AC,Não,,12.280,Não,,
Bujari/AC,Não,,10.572,Não,,
Manoel Urbano/AC,Não,,9.701,Não,,
Jordão/AC,Não,,8.628,Não,,
Assis Brasil/AC,Não,,7.649,Não,,
Santa Rosa do Purus/AC,Não,,6.893,Não,,
