Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Maceió/AL,Sim,16/06/2020,19/07/2022,1.031.597,,,
Arapiraca/AL,Sim,10/11/2021,,234.309,,,
Palmeira dos Índios/AL,Sim,22/11/2021,,73.337,,,
Marechal Deodoro/AL,Sim,26/10/2020,,52.848,,,
Delmiro Gouveia/AL,Sim,06/12/2019,,52.501,,,
Santana do Ipanema/AL,Sim,26/08/2022,,47.910,,,
Atalaia/AL,Sim,01/10/2021,,47.365,,,
Teotônio Vilela/AL,Sim,04/08/2022,,44.570,,,
Pilar/AL,Sim,16/12/2021,,35.310,,,
Porto Calvo/AL,Sim,17/11/2022,,27.331,,,
Viçosa/AL,Sim,03/10/2022,,25.655,,,
Piranhas/AL,Sim,28/03/2022,,25.324,,,
Pão de Açúcar/AL,Sim,01/09/2022,,24.307,,,
Rio Largo/AL,Não,,,75.662,Não,,
União dos Palmares/AL,Não,,,65.790,Não,,
Penedo/AL,Não,,,63.846,Não,,
São Miguel dos Campos/AL,Não,,,61.797,Não,,
Campo Alegre/AL,Não,,,57.997,Não,,
Coruripe/AL,Não,,,57.647,Não,,
Girau do Ponciano/AL,Não,,,41.549,Não,,
São Luís do Quitunde/AL,Não,,,34.825,Não,,
São Sebastião/AL,Não,,,34.424,Não,,
Maragogi/AL,Não,,,33.032,Não,,
São José da Tapera/AL,Não,,,32.462,Não,,
Limoeiro de Anadia/AL,Não,,,28.904,Não,,
Murici/AL,Não,,,28.428,Não,,
Traipu/AL,Não,,,27.934,Não,,
Boca da Mata/AL,Não,,,27.429,Não,,
Igaci/AL,Não,,,25.596,Não,,
Mata Grande/AL,Não,,,25.200,Não,,
Junqueiro/AL,Não,,,24.716,Não,,
Igreja Nova/AL,Não,,,24.670,Não,,
Matriz de Camaragibe/AL,Não,,,24.627,Não,,
Craíbas/AL,Não,,,24.396,Não,,
Joaquim Gomes/AL,Não,,,24.167,Não,,
São José da Laje/AL,Não,,,24.064,Não,,
Feira Grande/AL,Não,,,22.192,Não,,
Colônia Leopoldina/AL,Não,,,21.935,Não,,
Olho d'Água das Flores/AL,Não,,,21.690,Não,,
Cajueiro/AL,Não,,,21.397,Não,,
Água Branca/AL,Não,,,20.263,Não,,
Taquarana/AL,Não,,,20.162,Não,,
Porto Real do Colégio/AL,Não,,,20.158,Não,,
Major Izidoro/AL,Não,,,19.923,Não,,
Batalha/AL,Não,,,18.440,Não,,
Inhapi/AL,Não,,,18.398,Não,,
Estrela de Alagoas/AL,Não,,,18.304,Não,,
Messias/AL,Não,,,18.201,Não,,
Piaçabuçu/AL,Não,,,17.868,Não,,
Canapi/AL,Não,,,17.715,Não,,
Lagoa da Canoa/AL,Não,,,17.692,Não,,
Anadia/AL,Não,,,17.507,Não,,
Capela/AL,Não,,,16.907,Não,,
Barra de Santo Antônio/AL,Não,,,16.201,Não,,
Ibateguara/AL,Não,,,15.637,Não,,
Passo de Camaragibe/AL,Não,,,15.270,Não,,
Poço das Trincheiras/AL,Não,,,14.447,Não,,
Satuba/AL,Não,,,14.042,Não,,
Senador Rui Palmeira/AL,Não,,,13.893,Não,,
Paripueira/AL,Não,,,13.484,Não,,
Maribondo/AL,Não,,,13.123,Não,,
Novo Lino/AL,Não,,,12.837,Não,,
Flexeiras/AL,Não,,,12.823,Não,,
Olivença/AL,Não,,,11.681,Não,,
Ouro Branco/AL,Não,,,11.573,Não,,
Jequiá da Praia/AL,Não,,,11.495,Não,,
Quebrangulo/AL,Não,,,11.202,Não,,
Dois Riachos/AL,Não,,,11.059,Não,,
Cacimbinhas/AL,Não,,,10.920,Não,,
Santana do Mundaú/AL,Não,,,10.637,Não,,
Coité da Nóia/AL,Não,,,10.594,Não,,
Pariconha/AL,Não,,,10.546,Não,,
Branquinha/AL,Não,,,10.426,Não,,
Campo Grande/AL,Não,,,9.576,Não,,
Carneiros/AL,Não,,,9.568,Não,,
Olho D'Água do Casado/AL,Não,,,9.507,Não,,
Maravilha/AL,Não,,,8.850,Não,,
Japaratinga/AL,Não,,,8.444,Não,,
Barra de São Miguel/AL,Não,,,8.434,Não,,
São Miguel dos Milagres/AL,Não,,,8.073,Não,,
Porto de Pedras/AL,Não,,,7.618,Não,,
Paulo Jacinto/AL,Não,,,7.556,Não,,
Santa Luzia do Norte/AL,Não,,,7.344,Não,,
Chã Preta/AL,Não,,,7.311,Não,,
Monteirópolis/AL,Não,,,7.171,Não,,
Jacuípe/AL,Não,,,6.992,Não,,
São Brás/AL,Não,,,6.977,Não,,
Campestre/AL,Não,,,6.972,Não,,
Belo Monte/AL,Não,,,6.717,Não,,
Roteiro/AL,Não,,,6.634,Não,,
Tanque d'Arca/AL,Não,,,6.115,Não,,
Coqueiro Seco/AL,Não,,,5.882,Não,,
Jaramataia/AL,Não,,,5.751,Não,,
Minador do Alegrão/AL,Não,,,5.315,Não,,
Jacaré dos Homens/AL,Não,,,5.185,Não,,
Olho d'Água Grande/AL,Não,,,5.133,Não,,
Palestina/AL,Não,,,5.061,Não,,
