Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Macapá/AP,Sim,01/09/2022,25/01/2023,512.902,,,
Santana/AP,Não,,,123.096,Não,,
Laranjal do Jari/AP,Não,,,51.362,Não,,
Oiapoque/AP,Não,,,28.534,Não,,
Porto Grande/AP,Não,,,22.927,Não,,
Mazagão/AP,Não,,,22.468,Não,,
Tartarugalzinho/AP,Não,,,18.217,Não,,
Pedra Branca do Amapari/AP,Não,,,17.625,Não,,
Vitória do Jari/AP,Não,,,16.572,Não,,
Calçoene/AP,Não,,,11.493,Não,,
Amapá/AP,Não,,,10.842,Não,,
Ferreira Gomes/AP,Não,,,8.151,Não,,
Cutias/AP,Não,,,6.217,Não,,
Itaubal/AP,Não,,,5.730,Não,,
Serra do Navio/AP,Não,,,5.577,Não,,
Pracuúba/AP,Não,,,5.370,Não,,
