Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Manaus/AM,Sim,12/11/2019,2.255.903,Não,,
Parintins/AM,Não,,116.439,Não,,
Itacoatiara/AM,Não,,104.046,Não,,
Manacapuru/AM,Não,,99.613,Não,,
Coari/AM,Não,,86.713,Não,,
Tabatinga/AM,Não,,68.502,Não,,
Maués/AM,Não,,65.040,Não,,
Tefé/AM,Não,,59.547,Não,,
Manicoré/AM,Não,,57.405,Não,,
Humaitá/AM,Não,,57.195,Não,,
Iranduba/AM,Não,,49.718,Não,,
Lábrea/AM,Não,,47.685,Não,,
São Gabriel da Cachoeira/AM,Não,,47.031,Não,,
Benjamin Constant/AM,Não,,44.873,Não,,
Borba/AM,Não,,41.748,Não,,
Autazes/AM,Não,,41.005,Não,,
São Paulo de Olivença/AM,Não,,40.837,Não,,
Nova Olinda do Norte/AM,Não,,38.665,Não,,
Careiro/AM,Não,,38.348,Não,,
Presidente Figueiredo/AM,Não,,38.095,Não,,
Eirunepé/AM,Não,,36.121,Não,,
Boca do Acre/AM,Não,,34.958,Não,,
Rio Preto da Eva/AM,Não,,34.856,Não,,
Manaquiri/AM,Não,,33.981,Não,,
Barreirinha/AM,Não,,32.919,Não,,
Careiro da Várzea/AM,Não,,31.459,Não,,
Ipixuna/AM,Não,,31.172,Não,,
Codajás/AM,Não,,29.691,Não,,
Carauari/AM,Não,,28.719,Não,,
Barcelos/AM,Não,,27.772,Não,,
Santa Isabel do Rio Negro/AM,Não,,26.566,Não,,
Novo Aripuanã/AM,Não,,26.443,Não,,
Urucurituba/AM,Não,,24.098,Não,,
Apuí/AM,Não,,22.739,Não,,
Anori/AM,Não,,21.937,Não,,
Nhamundá/AM,Não,,21.710,Não,,
Santo Antônio do Içá/AM,Não,,20.889,Não,,
Atalaia do Norte/AM,Não,,20.868,Não,,
Envira/AM,Não,,20.748,Não,,
Beruri/AM,Não,,20.503,Não,,
Novo Airão/AM,Não,,20.395,Não,,
Boa Vista do Ramos/AM,Não,,20.040,Não,,
Pauini/AM,Não,,19.616,Não,,
Tonantins/AM,Não,,19.038,Não,,
Maraã/AM,Não,,18.298,Não,,
Guajará/AM,Não,,17.193,Não,,
Tapauá/AM,Não,,16.876,Não,,
Fonte Boa/AM,Não,,16.409,Não,,
Alvarães/AM,Não,,16.396,Não,,
Urucará/AM,Não,,16.007,Não,,
Canutama/AM,Não,,15.981,Não,,
Juruá/AM,Não,,15.495,Não,,
São Sebastião do Uatumã/AM,Não,,14.678,Não,,
Anamã/AM,Não,,14.292,Não,,
Uarini/AM,Não,,13.839,Não,,
Caapiranga/AM,Não,,13.482,Não,,
Jutaí/AM,Não,,13.462,Não,,
Amaturá/AM,Não,,11.934,Não,,
Itapiranga/AM,Não,,9.312,Não,,
Silves/AM,Não,,9.289,Não,,
Itamarati/AM,Não,,7.777,Não,,
