Município,Aprovou?,Data aprovação,Atualização,Atualização 2,Atualização 3,População,Projeto?,Aprovado?,Sancionado?
Salvador/BA,Sim,30/07/2020,28/07/2022,24/08/2023,06/09/2023,2.900.319,,,
Feira de Santana/BA,Sim,05/10/2020,,,,619.609,,,
Vitória da Conquista/BA,Sim,31/08/2020,,,,341.128,,,
Juazeiro/BA,Sim,11/03/2021,,,,218.162,,,
Lauro de Freitas/BA,Sim,17/09/2020,,,,201.635,,,
Teixeira de Freitas/BA,Sim,22/01/2021,,,,162.438,,,
Ilhéus/BA,Sim,17/12/2019,,,,159.923,,,
Barreiras/BA,Sim,19/04/2022,,,,156.975,,,
Alagoinhas/BA,Sim,23/12/2021,,,,152.327,,,
Santo Antonio de Jesus/BA,Sim,29/09/2021,,,,102.380,,,
Paulo Afonso/BA,Sim,05/09/2022,,,,101.757,,,
Valença/BA,Sim,21/09/2021,,,,97.873,,,
Guanambi/BA,Sim,01/11/2019,,,,84.928,,,
Dias D'Ávila/BA,Sim,29/09/2021,,,,82.432,,,
Irecê/BA,Sim,31/10/2019,,,,73.524,,,
Mata de São João/BA,Sim,15/10/2020,,,,47.643,,,
Seabra/BA,Sim,28/02/2020,,,,44.370,,,
Ituberá/BA,Sim,23/04/2021,,,,28.870,,,
Ibotirama/BA,Sim,19/10/2020,,,,27.076,,,
Iraquara/BA,Sim,29/06/2021,,,,25.728,,,
Mutuípe/BA,Sim,30/11/2020,,,,22.340,,,
Ibicaraí/BA,Sim,10/06/2021,,,,21.083,,,
Itororó/BA,Sim,29/06/2022,,,,20.394,,,
Ourolândia/BA,Sim,21/10/2019,,,,17.567,,,
Urandi/BA,Sim,24/08/2021,,,,16.672,,,
Salinas da Margarida/BA,Sim,30/09/2019,,,,16.047,,,
Novo Triunfo/BA,Sim,04/01/2022,,,,15.445,,,
Várzea Nova/BA,Sim,07/10/2019,,,,12.556,,,
Camaçari/BA,Não,,,,,304.302,Não,,
Itabuna/BA,Não,,,,,214.123,Não,,
Jequié/BA,Não,,,,,156.126,Não,,
Porto Seguro/BA,Não,,,,,150.658,Não,,
Simões Filho/BA,Não,,,,,137.117,Não,,
Eunápolis/BA,Não,,,,,115.360,Não,,
Luis Eduardo Magalhães/BA,Não,,,,,90.162,Não,,
Candeias/BA,Não,,,,,87.820,Não,,
Serrinha/BA,Não,,,,,81.693,Não,,
Jacobina/BA,Não,,,,,80.518,Não,,
Senhor do Bonfim/BA,Não,,,,,79.424,Não,,
Itapetinga/BA,Não,,,,,76.147,Não,,
Casa Nova/BA,Não,,,,,72.545,Não,,
Campo Formoso/BA,Não,,,,,71.206,Não,,
Bom Jesus da Lapa/BA,Não,,,,,69.662,Não,,
Conceição do Coité/BA,Não,,,,,68.303,Não,,
Brumado/BA,Não,,,,,67.468,Não,,
Itaberaba/BA,Não,,,,,64.325,Não,,
Itamaraju/BA,Não,,,,,64.423,Não,,
Cruz das Almas/BA,Não,,,,,63.299,Não,,
Euclides da Cunha/BA,Não,,,,,61.112,Não,,
Santo Amaro/BA,Não,,,,,60.190,Não,,
Ipirá/BA,Não,,,,,59.281,Não,,
Araci/BA,Não,,,,,55.935,Não,,
Catu/BA,Não,,,,,54.970,Não,,
Jaguaquara/BA,Não,,,,,54.673,Não,,
Ribeira do Pombal/BA,Não,,,,,54.097,Não,,
Barra/BA,Não,,,,,53.910,Não,,
Santo Estevão/BA,Não,,,,,53.666,Não,,
Caetité/BA,Não,,,,,51.184,Não,,
Tucano/BA,Não,,,,,50.903,Não,,
Macaúbas/BA,Não,,,,,50.481,Não,,
Monte Santo/BA,Não,,,,,49.418,Não,,
Poções/BA,Não,,,,,46.885,Não,,
Xique-xique/BA,Não,,,,,46.483,Não,,
Livramento de Nossa Senhora/BA,Não,,,,,46.372,Não,,
Ipiaú/BA,Não,,,,,45.922,Não,,
Maragogipe/BA,Não,,,,,44.902,Não,,
São Sebastião do Passé/BA,Não,,,,,44.554,Não,,
Nova Viçosa/BA,Não,,,,,44.170,Não,,
Vera Cruz/BA,Não,,,,,43.716,Não,,
Mucuri/BA,Não,,,,,42.729,Não,,
Entre Rios/BA,Não,,,,,41.901,Não,,
Remanso/BA,Não,,,,,41.324,Não,,
Rio Real/BA,Não,,,,,41.209,Não,,
Sento Sé/BA,Não,,,,,40.989,Não,,
Jeremoabo/BA,Não,,,,,40.832,Não,,
São Francisco do Conde/BA,Não,,,,,40.664,Não,,
Pojuca/BA,Não,,,,,40.401,Não,,
Inhambupe/BA,Não,,,,,39.926,Não,,
Santa Maria da Vitória/BA,Não,,,,,39.707,Não,,
São Gonçalo dos Campos/BA,Não,,,,,38.315,Não,,
Esplanada/BA,Não,,,,,37.902,Não,,
Santaluz/BA,Não,,,,,37.704,Não,,
Amargosa/BA,Não,,,,,37.631,Não,,
Itiúba/BA,Não,,,,,36.140,Não,,
Riacho de Santana/BA,Não,,,,,35.757,Não,,
Morro do Chapéu/BA,Não,,,,,35.466,Não,,
Camamu/BA,Não,,,,,35.316,Não,,
Itapicuru/BA,Não,,,,,35.256,Não,,
Curaça/BA,Não,,,,,35.065,Não,,
Pilão Arcado/BA,Não,,,,,35.048,Não,,
