Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Serra/ES,Sim,09/12/2019,03/08/2020,527.240,,,
Vila Velha/ES,Sim,07/10/2021,04/07/2023,501.325,,,
Cariacica/ES,Sim,03/10/2019,31/05/2021,383.917,,,
Vitória/ES,Sim,11/10/2019,,365.855,,,
Cachoeiro de Itapemirim/ES,Sim,11/08/2021,,220.670,,,
Linhares/ES,Sim,07/11/2019,,176.688,,,
Guarapari/ES,Sim,18/12/2019,,126.701,,,
Colatina/ES,Sim,19/09/2022,,123.400,,,
Aracruz/ES,Sim,17/06/2021,24/04/2023,103.101,,,
Viana/ES,Sim,13/05/2022,03/07/2023,79.500,,,
Nova Venécia/ES,Sim,11/11/2019,10/08/2021,50.751,,,
Barra de São Francisco/ES,Sim,18/05/2021,,44.979,,,
Castelo/ES,Sim,10/11/2020,24/05/2023,37.747,,,
Santa Maria de Jetibá/ES,Sim,02/12/2021,,41.588,,,
Marataízes/ES,Sim,19/09/2019,05/10/2020,38.883,,,
São Gabriel da Palha/ES,Sim,27/09/2021,,38.522,,,
Itapemirim/ES,Sim,21/10/2020,,34.656,,,
Conceição da Barra/ES,Sim,24/01/2020,,31.479,,,
Sooretama/ES,Sim,17/01/2020,,31.278,,,
Anchieta/ES,Sim,15/06/2022,,30.285,,,
Afonso Cláudio/ES,Sim,27/04/2022,,30.326,,,
Alegre/ES,Sim,13/10/2020,22/04/2022,29.869,,,
Pinheiros/ES,Sim,11/08/2021,,27.601,,,
Ibatiba/ES,Sim,10/10/2022,,26.762,,,
Pedro Canário/ES,Sim,20/09/2021,,26.575,,,
Venda Nova do Imigrante/ES,Sim,18/09/2020,,26.204,,,
Santa Teresa/ES,Sim,23/09/2020,,23.853,,,
Ecoporanga/ES,Sim,19/12/2022,,22.748,,,
Piúma/ES,Sim,10/09/2021,24/09/2021,22.388,,,
Fundão/ES,Sim,15/10/2019,06/10/2021,22.379,,,
Vargem Alta/ES,Sim,13/12/2022,,21.778,,,
Rio Bananal/ES,Sim,25/06/2020,,19.398,,,
Montanha/ES,Sim,20/08/2021,,18.954,,,
Marechal Floriano/ES,Sim,11/11/2019,,16.920,,,
Boa Esperança/ES,Sim,14/12/2021,05/09/2022,15.146,,,
Alfredo Chaves/ES,Sim,23/12/2020,26/04/2023,14.670,,,
Iconha/ES,Sim,19/12/2019,27/11/2020,14.083,,,
Marilândia/ES,Sim,09/11/2021,,13.091,,,
Governador Lindenberg/ES,Sim,24/08/2021,,13.047,,,
Conceição do Castelo/ES,Sim,11/02/2020,,12.887,,,
Ibiraçu/ES,Sim,16/07/2021,,12.701,,,
São Roque do Canaã/ES,Sim,30/06/2020,,12.602,,,
Brejetuba/ES,Sim,28/04/2023,,12.450,,,
Jerônimo Monteiro/ES ,Sim,27/07/2022,29/06/2023,12.336,,,
Atílio Vivácqua/ES,Sim,20/04/2022,,12.270,,,
Presidente Kennedy/ES,Sim,30/06/2023,,11.741,,,
Rio Novo do Sul/ES,Sim,11/11/2022,,11.630,,,
São José do Calçado/ES,Sim,15/12/2021,07/10/2022,10.536,,,
Águia Branca/ES,Sim,31/05/2023,,9.621,,,
Iúna/ES,Parcial,04/07/2023,,29.417,Não,,
Pancas/ES,Parcial,26/09/2022,,23.426,Não,,
Vila Pavão/ES,Parcial,14/03/2022,,9.280,Não,,
Ponto Belo/ES,Parcial,30/11/2022,,8.016,Não,,
Dores do Rio Preto/ES,Parcial,08/07/2022,,6.793,Não,,
São Mateus/ES,Não,,,132.642,Não,,
Domingos Martins/ES,Não,,,34.120,Não,,
Jaguaré/ES,Não,,,31.589,Não,,
Guaçuí/ES,Não,,,31.372,Não,,
Baixo Guandu/ES,Não,,,31.263,Não,,
Mimoso do Sul/ES,Não,,,26.079,Não,,
Muniz Freire/ES,Não,,,17.176,Não,,
João Neiva/ES,Não,,,16.774,Não,,
Mantenópolis/ES,Não,,,15.653,Não,,
Muqui/ES,Não,,,15.602,Não,,
Vila Valério/ES,Não,,,14.065,Não,,
Itaguaçu/ES,Não,,,13.982,Não,,
Irupi/ES,Não,,,13.672,Não,,
Santa Leopoldina/ES,Não,,,12.171,Não,,
Laranja da Terra/ES,Não,,,10.919,Não,,
Água Doce do Norte/ES,Não,,,10.801,Não,,
Itarana/ES,Não,,,10.433,Não,,
Bom Jesus do Norte/ES,Não,,,9.988,Não,,
Ibitirama/ES,Não,,,8.830,Não,,
São Domingos do Norte/ES,Não,,,8.735,Não,,
Alto Rio Novo/ES,Não,,,7.911,Não,,
Apiacá/ES,Não,,,7.542,Não,,
Mucurici/ES,Não,,,5.468,Não,,
