Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Anápolis/GO,Sim,05/10/2022,391.772,,,
Águas Lindas de Goiás/GO,Sim,13/03/2020,217.698,,,
Jataí/GO,Sim,18/12/2019,102.065,,,
Itaberaí/GO,Sim,23/12/2019,44.329,,,
Pires do Rio/GO,Sim,12/08/2020,31.909,,,
Ipameri/GO,Sim,17/01/2020,27.365,,,
Itapuranga/GO,Sim,25/10/2022,25.597,,,
Campos Belos/GO,Sim,11/01/2020,20.124,,,
Vianópolis/GO,Sim,15/02/2022,14.088,,,
Cavalcante/GO,Sim,12/05/2022,9.740,,,
Alto Paraíso de Goiás/GO,Sim,11/05/2022,7.751,,,
Alto Horizonte/GO,Sim,19/08/2021,6.796,,,
Goiânia/GO,Não,,1.555.626,PL 413/2019,Sim,Vetado parcialmente
Aparecida de Goiânia/GO,Não,,590.146,Não,,
Rio Verde/GO,Não,,247.259,Não,,
Luziânia/GO,Não,,211.508,Não,,
Valparaíso de Goiás/GO,Não,,172.135,Não,,
Trindade/GO,Não,,129.823,Não,,
Formosa/GO,Não,,123.684,Não,,
Senador Canedo/GO,Não,,121.447,Não,,
Novo Gama/GO,Não,,119.649,Não,,
Catalão/GO,Não,,110.983,Não,,
Itumbiara/GO,Não,,106.845,Não,,
Caldas Novas/GO,Não,,95.183,Não,,
Planaltina/GO,Não,,91.345,Não,,
Santo Antônio do Descoberto/GO,Não,,76.871,Não,,
Cidade Ocidental/GO,Não,,74.370,Não,,
Goianésia/GO,Não,,71.075,Não,,
Mineiros/GO,Não,,68.154,Não,,
Cristalina/GO,Não,,60.210,Não,,
Inhumas/GO,Não,,53.655,Não,,
Jaraguá/GO,Não,,52.160,Não,,
Quirinópolis/GO,Não,,51.323,Não,,
Niquelândia/GO,Não,,47.064,Não,,
Morrinhos/GO,Não,,46.548,Não,,
Goianira/GO,Não,,46.278,Não,,
Porangatu/GO,Não,,45.633,Não,,
Uruaçu/GO,Não,,41.150,Não,,
Santa Helena de Goiás/GO,Não,,38.808,Não,,
Posse/GO,Não,,37.414,Não,,
Padre Bernardo/GO,Não,,35.011,Não,,
São Luis de Montes Belos/GO,Não,,34.448,Não,,
Goiatuba/GO,Não,,34.307,Não,,
Iporá/GO,Não,,31.471,Não,,
Bela Vista de Goiás/GO,Não,,31.004,Não,,
Nerópolis/GO,Não,,30.931,Não,,
Palmeiras de Goiás/GO,Não,,29.915,Não,,
Minaçu/GO,Não,,28.518,Não,,
Alexânia/GO,Não,,28.360,Não,,
Bom Jesus de Goiás/GO,Não,,26.069,Não,,
Pirenópolis/GO,Não,,25.218,Não,,
Piracanjuba/GO,Não,,24.543,Não,,
Itapaci/GO,Não,,23.850,Não,,
Acreúna/GO,Não,,22.710,Não,,
Hidrolândia/GO,Não,,22.533,Não,,
Ceres/GO,Não,,22.407,Não,,
Goiás/GO,Não,,22.122,Não,,
Anicuns/GO,Não,,22.133,Não,,
São Miguel do Araguaia/GO,Não,,21.849,Não,,
São Simão/GO,Não,,21.318,Não,,
Silvânia/GO,Não,,20.938,Não,,
Abadiânia/GO,Não,,20.873,Não,,
Cocalzinho de Goiás/GO,Não,,20.771,Não,,
Aragarças/GO,Não,,20.410,Não,,
Rubiataba/GO,Não,,20.012,Não,,
Caiapônia/GO,Não,,19.304,Não,,
Jussara/GO,Não,,18.266,Não,,
Pontalina/GO,Não,,17.899,Não,,
Flores de Goiás/GO,Não,,17.415,Não,,
Crixás/GO,Não,,17.136,Não,,
Caçu/GO,Não,,16.525,Não,,
Mozarlândia/GO,Não,,16.077,Não,,
Indiara/GO,Não,,15.962,Não,,
Orizona/GO,Não,,15.834,Não,,
Maurilândia/GO,Não,,14.568,Não,,
São João d'Aliança/GO,Não,,14.423,Não,,
Iaciara/GO,Não,,14.215,Não,,
Guapó/GO,Não,,14.206,Não,,
Montividiu/GO,Não,,13.935,Não,,
Uruana/GO,Não,,13.795,Não,,
Firminópolis/GO,Não,,13.604,Não,,
São Domingos/GO,Não,,13.305,Não,,
Nova Crixás/GO,Não,,13.020,Não,,
Campinorte/GO,Não,,12.880,Não,,
Cachoeira Alta/GO,Não,,12.843,Não,,
Edéia/GO,Não,,12.559,Não,,
Barro Alto/GO,Não,,11.643,Não,,
Corumbá de Goiás/GO,Não,,11.223,Não,,
Goianápolis/GO,Não,,11.217,Não,,
Paraúna/GO,Não,,10.988,Não,,
Rialma/GO,Não,,10.961,Não,,
Chapadão do Céu/GO,Não,,10.797,Não,,
Aragoiânia/GO,Não,,10.680,Não,,
Aruanã/GO,Não,,10.340,Não,,
Carmo do Rio Verde/GO,Não,,10.299,Não,,
Petrolina de Goiás/GO,Não,,10.240,Não,,
Paranaiguara/GO,Não,,10.221,Não,,
Nova Veneza/GO,Não,,10.193,Não,,
Piranhas/GO,Não,,10.161,Não,,
Bonfinópolis/GO,Não,,10.120,Não,,
Corumbaíba/GO,Não,,10.012,Não,,
Buriti Alegre/GO,Não,,9.515,Não,,
Nazário/GO,Não,,9.375,Não,,
Mambaí/GO,Não,,9.277,Não,,
Mara Rosa/GO,Não,,9.234,Não,,
Abadia de Goiás/GO,Não,,9.158,Não,,
Santa Rita do Araguaia/GO,Não,,9.110,Não,,
Vicentinópolis/GO,Não,,9.002,Não,,
Itauçu/GO,Não,,8.968,Não,,
Bom Jardim de Goiás/GO,Não,,8.912,Não,,
Cezarina/GO,Não,,8.794,Não,,
Monte Alegre de Goiás/GO,Não,,8.759,Não,,
Alvorada do Norte/GO,Não,,8.749,Não,,
Serranópolis/GO,Não,,8.737,Não,,
Santa Terezinha de Goiás/GO,Não,,8.386,Não,,
Terezópolis de Goiás/GO,Não,,8.326,Não,,
Cabeceiras/GO,Não,,8.098,Não,,
Campo Limpo de Goiás/GO,Não,,8.087,Não,,
São João do Arraial/GO,Não,,8.085,Não,,
Nova Glória/GO,Não,,8.063,Não,,
Montes Claros de Goiás/GO,Não,,8.037,Não,,
Cachoeira Dourada/GO,Não,,7.997,Não,,
Campo Alegre de Goiás/GO,Não,,7.884,Não,,
Araguapaz/GO,Não,,7.795,Não,,
Leopoldo de Bulhões/GO,Não,,7.663,Não,,
Sanclerlândia/GO,Não,,7.630,Não,,
Joviânia/GO,Não,,7.417,Não,,
Itarumã/GO,Não,,7.337,Não,,
Doverlândia/GO,Não,,7.174,Não,,
Ouvidor/GO,Não,,6.895,Não,,
Simolândia/GO,Não,,6.895,Não,,
Santa Bárbara de Goiás/GO,Não,,6.701,Não,,
Santo Antônio de Goiás/GO,Não,,6.593,Não,,
Faina/GO,Não,,6.527,Não,,
Vila Boa/GO,Não,,6.451,Não,,
Inaciolândia/GO,Não,,6.275,Não,,
São Francisco de Goiás/GO,Não,,6.265,Não,,
Americano do Brasil/GO,Não,,6.220,Não,,
Gouvelândia/GO,Não,,6.076,Não,,
Jandaia/GO,Não,,6.001,Não,,
Vila Propício/GO,Não,,5.941,Não,,
Água Fria de Goiás/GO,Não,,5.843,Não,,
Britânia/GO,Não,,5.815,Não,,
Goiandira/GO,Não,,5.650,Não,,
Santa Fé de Goiás/GO,Não,,5.585,Não,,
Fazenda Nova/GO,Não,,5.471,Não,,
Turvelândia/GO,Não,,5.447,Não,,
Baliza/GO,Não,,5.418,Não,,
São Luiz do Norte/GO,Não,,5.263,Não,,
Itaguaru/GO,Não,,5.184,Não,,
Caturaí/GO,Não,,5.132,Não,,
