Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Imperatriz/MA,Sim,29/01/2020,18/03/2022,259.980,,,
Balsas/MA,Sim,20/12/2019,,95.929,,,
Itapecuru-Mirim/MA,Sim,22/11/2021,,69.233,,,
Vargem Grande/MA,Sim,19/10/2021,,57.813,,,
Turiaçu/MA,Sim,18/08/2021,,35.811,,,
Bom Jesus das Selvas/MA,Sim,20/08/2021,,35.095,,,
Urbano Santos/MA,Sim,09/02/2022,,33.791,,,
Humberto de Campos/MA,Sim,05/07/2022,,29.143,,,
Aldeias Altas/MA,Sim,13/01/2022,,26.979,,,
João Lisboa/MA,Sim,20/02/2020,,23.677,,,
São Luis Gonzaga do Maranhão/MA,Sim,08/06/2022,,18.600,,,
Esperantinópolis/MA,Sim,27/10/2022,,16.971,,,
Bom Lugar/MA,Sim,19/04/2022,,16.578,,,
Lago Verde/MA,Sim,25/10/2022,,16.369,,,
Cajapió/MA,Sim,24/05/2022,,11.255,,,
São Luís/MA,Não,,,1.115.932,Não,,
São José de Ribamar/MA,Não,,,180.345,Não,,
Timon/MA,Não,,,171.317,Não,,
Caxias/MA,Não,,,165.525,Não,,
Paço do Lumiar/MA,Não,,,125.265,Não,,
Codó/MA,Não,,,123.116,Não,,
Açailândia/MA,Não,,,111.757,Não,,
Bacabal/MA,Não,,,104.633,Não,,
Santa Inês/MA,Não,,,89.489,Não,,
Barra do Corda/MA,Não,,,88.895,Não,,
Pinheiro/MA,Não,,,84.160,Não,,
Chapadinha/MA,Não,,,80.705,Não,,
Santa Luzia/MA,Não,,,75.043,Não,,
Buriticupu/MA,Não,,,72.983,Não,,
Grajaú/MA,Não,,,70.065,Não,,
Coroatá/MA,Não,,,64.123,Não,,
Barreirinhas/MA,Não,,,63.891,Não,,
Tutóia/MA,Não,,,59.927,Não,,
Viana/MA,Não,,,52.852,Não,,
Zé Doca/MA,Não,,,50.806,Não,,
Lago da Pedra/MA,Não,,,50.266,Não,,
Coelho Neto/MA,Não,,,49.804,Não,,
Presidente Dutra/MA,Não,,,48.264,Não,,
Araioses/MA,Não,,,47.095,Não,,
São Bento/MA,Não,,,45.989,Não,,
Rosário/MA,Não,,,43.243,Não,,
Tuntum/MA,Não,,,42.242,Não,,
Amarante do Maranhão/MA,Não,,,42.017,Não,,
Santa Helena/MA,Não,,,41.770,Não,,
São Mateus do Maranhão/MA,Não,,,41.750,Não,,
Bom Jardim/MA,Não,,,41.630,Não,,
Estreito/MA,Não,,,41.355,Não,,
Colinas/MA,Não,,,41.312,Não,,
Salinópolis/MA,Não,,,40.424,Não,,
Pedreiras/MA,Não,,,39.153,Não,,
Penalva/MA,Não,,,38.987,Não,,
Brejo/MA,Não,,,36.900,Não,,
Santa Rita/MA,Não,,,35.364,Não,,
Parnarama/MA,Não,,,35.108,Não,,
São Domingos do Maranhão/MA,Não,,,34.391,Não,,
Matões/MA,Não,,,34.009,Não,,
Monção/MA,Não,,,33.888,Não,,
Pindaré-Mirim/MA,Não,,,33.186,Não,,
Vitória do Mearim/MA,Não,,,32.956,Não,,
Arame/MA,Não,,,32.825,Não,,
Cururupu/MA,Não,,,32.559,Não,,
Alto Alegre do Pindaré/MA,Não,,,31.967,Não,,
Raposa/MA,Não,,,31.586,Não,,
Vitorino Freire/MA,Não,,,31.520,Não,,
Arari/MA,Não,,,30.014,Não,,
Timbiras/MA,Não,,,29.241,Não,,
Miranda do Norte/MA,Não,,,29.121,Não,,
Buriti/MA,Não,,,28.916,Não,,
São Bernardo/MA,Não,,,28.825,Não,,
Alto Alegre do Maranhão/MA,Não,,,28.066,Não,,
Icatu/MA,Não,,,27.423,Não,,
Anajatuba/MA,Não,,,27.170,Não,,
Itinga do Maranhão/MA,Não,,,26.134,Não,,
Turilândia/MA,Não,,,26.112,Não,,
São João dos Patos/MA,Não,,,26.063,Não,,
Santa Quitéria do Maranhão/MA,Não,,,25.884,Não,,
Pedro do Rosário/MA,Não,,,25.560,Não,,
Governador Nunes Freire/MA,Não,,,25.502,Não,,
Santa Luzia do Paruá/MA,Não,,,25.487,Não,,
Porto Franco/MA,Não,,,24.294,Não,,
Carolina/MA,Não,,,24.151,Não,,
Carutapera/MA,Não,,,24.095,Não,,
Buriti Bravo/MA,Não,,,23.993,Não,,
Matinha/MA,Não,,,23.591,Não,,
Peritoró/MA,Não,,,23.530,Não,,
Dom Pedro/MA,Não,,,23.393,Não,,
São Vicente Ferrer/MA,Não,,,22.452,Não,,
Cantanhede/MA,Não,,,22.236,Não,,
Trizidela do Vale/MA,Não,,,22.223,Não,,
Alcântara/MA,Não,,,22.126,Não,,
Centro Novo do Maranhão/MA,Não,,,22.056,Não,,
Maracaçumé/MA,Não,,,21.773,Não,,
Paraibano/MA,Não,,,21.571,Não,,
Bequimão/MA,Não,,,21.317,Não,,
Pio XII/MA,Não,,,21.274,Não,,
Nova Olinda do Maranhão/MA,Não,,,21.228,Não,,
Paulo Ramos/MA,Não,,,21.092,Não,,
Mirador/MA,Não,,,21.045,Não,,
São João Batista/MA,Não,,,20.736,Não,,
Cândido Mendes/MA,Não,,,20.376,Não,,
Riachão/MA,Não,,,20.288,Não,,
Magalhães de Almeida/MA,Não,,,20.228,Não,,
Palmeirândia/MA,Não,,,19.840,Não,,
Morros/MA,Não,,,19.708,Não,,
Pastos Bons/MA,Não,,,19.693,Não,,
Olho d'Água das Cunhãs/MA,Não,,,19.616,Não,,
Cajari/MA,Não,,,19.521,Não,,
Formosa da Serra Negra/MA,Não,,,19.425,Não,,
Passagem Franca/MA,Não,,,19.253,Não,,
Presidente Sarney/MA,Não,,,19.217,Não,,
São Raimundo das Mangabeiras/MA,Não,,,19.090,Não,,
Barão de Grajaú/MA,Não,,,19.026,Não,,
Pirapemas/MA,Não,,,18.814,Não,,
São Benedito do Rio Preto/MA,Não,,,18.769,Não,,
São João do Soter/MA,Não,,,18.746,Não,,
Governador Edison Lobão/MA,Não,,,18.740,Não,,
Bacuri/MA,Não,,,18.726,Não,,
Sítio Novo/MA,Não,,,18.237,Não,,
Gonçalves Dias/MA,Não,,,17.953,Não,,
Fortuna/MA,Não,,,17.812,Não,,
Apicum-Açu/MA,Não,,,17.582,Não,,
Bacabeira/MA,Não,,,17.446,Não,,
Poção de Pedras/MA,Não,,,17.321,Não,,
Matões do Norte/MA,Não,,,17.316,Não,,
Jenipapo dos Vieiras/MA,Não,,,17.123,Não,,
Mata Roma/MA,Não,,,17.122,Não,,
Maranhãozinho/MA,Não,,,16.754,Não,,
Conceição do Lago Açu/MA,Não,,,16.559,Não,,
Paulino Neves/MA,Não,,,16.295,Não,,
Joselândia/MA,Não,,,16.228,Não,,
Santo Amaro do Maranhão/MA,Não,,,16.219,Não,,
Itaipava do Grajaú/MA,Não,,,16.158,Não,,
Anapurus/MA,Não,,,16.054,Não,,
São João do Caru/MA,Não,,,15.768,Não,,
Araguanã/MA,Não,,,15.675,Não,,
Primeira Cruz/MA,Não,,,15.545,Não,,
Buritirana/MA,Não,,,15.503,Não,,
Mirinzal/MA,Não,,,15.059,Não,,
Olinda Nova do Maranhão/MA,Não,,,14.968,Não,,
Cidelândia/MA,Não,,,14.855,Não,,
Nina Rodrigues/MA,Não,,,14.826,Não,,
