Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Curitiba/PR,Sim,19/12/2019,17/03/2022,1.963.726,,,
Londrina/PR,Sim,12/11/2019,,575.377,,,
Maringá/PR,Sim,07/07/2021,,403.063,,,
Ponta Grossa/PR,Sim,21/07/2020,,355.336,,,
Cascavel/PR,Sim,06/05/2021,,332.333,,,
São José dos Pinhais/PR,Sim,02/03/2020,,329.058,,,
Foz do Iguaçu/PR,Sim,13/12/2019,,258.248,,,
Colombo/PR,Sim,23/05/2022,,246.540,,,
Guarapuava/PR,Sim,16/12/2019,10/03/2020,182.644,,,
Toledo/PR,Sim,21/07/2020,,142.645,,,
Apucarana/PR,Sim,07/02/2020,,136.234,,,
Pinhais/PR,Sim,13/05/2021,31/08/2021,133.490,,,
Arapongas/PR,Sim,25/11/2021,,124.810,,,
Fazenda Rio Grande/PR,Sim,13/09/2022,05/05/2023,100.209,,,
Campo Mourão/PR,Sim,25/02/2022,,95.488,,,
Francisco Beltrão/PR,Sim,16/10/2019,,92.216,,,
Paranavaí/PR,Sim,19/08/2020,,88.922,,,
Cianorte/PR,Sim,08/12/2021,,84.980,,,
Pato Branco/PR,Sim,21/05/2020,,84.779,,,
Rolândia/PR,Sim,26/11/2020,,68.165,,,
União da Vitória/PR,Sim,29/06/2023,,57.913,,,
Ibiporã/PR,Sim,15/03/2022,,55.688,,,
Marechal Cândido Rondon/PR,Sim,17/06/2020,,54.031,,,
Campina Grande do Sul/PR,Sim,16/12/2019,,44.072,,,
Mandaguari/PR,Sim,01/03/2021,,34.628,,,
Rio Branco do Sul/PR,Sim,26/05/2021,,32.635,,,
Pitanga/PR,Sim,27/10/2021,,29.686,,,
Goioerê/PR,Sim,01/09/2021,,28.734,,,
Nova Esperança/PR,Sim,29/05/2020,,28.062,,,
Mandirituba/PR,Sim,30/07/2021,,27.750,,,
Astorga/PR,Sim,08/06/2020,,26.304,,,
Loanda/PR,Sim,31/07/2020,,23.393,,,
Altônia/PR,Sim,24/03/2021,,22.293,,,
Andirá/PR,Sim,18/05/2022,,19.823,,,
Capanema/PR,Sim,11/12/2020,,19.172,,,
Chopinzinho/PR,Sim,22/12/2020,,19.083,,,
Contenda/PR,Sim,11/12/2020,,19.082,,,
Cruz Machado/PR,Sim,23/09/2022,,18.772,,,
Matelândia/PR,Sim,12/11/2021,,18.266,,,
Tijucas do Sul/PR,Sim,19/02/2020,,17.295,,,
Realeza/PR,Sim,14/04/2020,,16.976,,,
