Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
João Pessoa/PB,Sim,30/09/2020,817.511,,,
Campina Grande/PB,Sim,13/06/2022,402.912,,,
Esperança/PB,Sim,16/06/2020,33.386,,,
Ingá/PB,Sim,18/08/2021,18.184,,,
Sumé/PB,Sim,17/09/2021,17.096,,,
Uiraúna/PB,Sim,05/07/2023,15.356,,,
Brejo do Cruz/PB,Sim,18/05/2021,14.287,,,
Fagundes/PB,Sim,25/05/2021,11.180,,,
Itatuba/PB,Sim,12/01/2022,11.069,,,
Jericó/PB,Sim,12/02/2020,7.751,,,
Santa Rita/PB,Não,,137.349,Não,,
Patos/PB,Não,,108.192,Não,,
Bayeux/PB,Não,,97.519,Não,,
Sousa/PB,Não,,69.997,Não,,
Cabedelo/PB,Não,,69.773,Não,,
Cajazeiras/PB,Não,,62.576,Não,,
Guarabira/PB,Não,,59.115,Não,,
Sapé/PB,Não,,52.977,Não,,
Mamanguape/PB,Não,,45.385,Não,,
Queimadas/PB,Não,,44.179,Não,,
São Bento/PB,Não,,34.650,Não,,
Monteiro/PB,Não,,33.638,Não,,
Pombal/PB,Não,,32.803,Não,,
Catolé do Rocha/PB,Não,,30.819,Não,,
Pedras de Fogo/PB,Não,,28.607,Não,,
Alagoa Grande/PB,Não,,28.384,Não,,
Lagoa Seca/PB,Não,,27.728,Não,,
Solânea/PB,Não,,26.051,Não,,
Conde/PB,Não,,25.341,Não,,
Itaporanga/PB,Não,,24.960,Não,,
Itabaiana/PB,Não,,24.363,Não,,
Rio Tinto/PB,Não,,24.258,Não,,
Princesa Isabel/PB,Não,,23.749,Não,,
Areia/PB,Não,,22.493,Não,,
Caaporã/PB,Não,,22.079,Não,,
Mari/PB,Não,,21.895,Não,,
Bananeiras/PB,Não,,21.220,Não,,
Alagoa Nova/PB,Não,,20.992,Não,,
Araruna/PB,Não,,20.610,Não,,
São José de Piranhas/PB,Não,,20.406,Não,,
Cuité/PB,Não,,20.331,Não,,
Remígio/PB,Não,,19.973,Não,,
Alhandra/PB,Não,,19.865,Não,,
Pitimbu/PB,Não,,19.478,Não,,
Aroeiras/PB,Não,,19.081,Não,,
Conceição/PB,Não,,19.030,Não,,
Itapororoca/PB,Não,,18.978,Não,,
Pocinhos/PB,Não,,18.848,Não,,
Picuí/PB,Não,,18.737,Não,,
Juazeirinho/PB,Não,,18.422,Não,,
São João do Rio do Peixe/PB,Não,,18.020,Não,,
Boqueirão/PB,Não,,17.934,Não,,
Belém/PB,Não,,17.733,Não,,
Cruz do Espírito Santo/PB,Não,,17.599,Não,,
Cacimba de Dentro/PB,Não,,17.169,Não,,
Araçagi/PB,Não,,16.857,Não,,
Piancó/PB,Não,,16.147,Não,,
Barra de Santa Rosa/PB,Não,,15.607,Não,,
Taperoá/PB,Não,,15.505,Não,,
Santa Luzia/PB,Não,,15.470,Não,,
Coremas/PB,Não,,15.438,PL 426/2021,,
Teixeira/PB,Não,,15.333,Não,,
Soledade/PB,Não,,15.211,Não,,
Tavares/PB,Não,,14.791,Não,,
Alagoinha/PB,Não,,14.629,Não,,
Jacaraú/PB,Não,,14.467,Não,,
Gurinhém/PB,Não,,14.125,Não,,
Massaranduba/PB,Não,,14.077,Não,,
Serra Branca/PB,Não,,13.807,Não,,
Puxinanã/PB,Não,,13.801,Não,,
Arara/PB,Não,,13.613,Não,,
Lucena/PB,Não,,13.344,Não,,
Mogeiro/PB,Não,,13.238,Não,,
Paulista/PB,Não,,12.411,Não,,
