Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Belém/PA,Sim,23/11/2021,,1.506.420,,,
Ananindeua/PA,Sim,27/02/2023,,535.547,,,
Santarém/PA,Sim,17/09/2020,,306.480,,,
Marabá/PA,Sim,14/06/2021,,283.542,,,
Parauapebas/PA,Sim,19/09/2019,,218.787,,,
São Felix do Xingu/PA,Sim,14/09/2022,,132.138,,,
Barcarena/PA,Sim,30/05/2022,,128.190,,,
Altamira/PA,Sim,16/08/2021,,115.969,,,
Paragominas/PA,Sim,07/07/2020,,115.838,,,
Benevides/PA,Sim,22/07/2020,,64.780,,,
Dom Eliseu/PA,Sim,24/06/2021,,60.469,,,
Alenquer/PA,Sim,15/09/2022,,57.390,,,
Canaã dos Carajás/PA,Sim,22/04/2020,06/06/2022,39.103,,,
Eldorado dos Carajás/PA,Sim,22/03/2023,,34.069,,,
Nova Ipixuna/PA,Sim,09/06/2021,,17.027,,,
Castanhal/PA,Não,,,203.251,Não,,
Abaetetuba/PA,Não,,,160.439,Não,,
Cametá/PA,Não,,,139.364,Não,,
Marituba/PA,Não,,,135.812,Não,,
Bragança/PA,Não,,,128.914,Não,,
Tucuruí/PA,Não,,,116.605,Não,,
Tailândia/PA,Não,,,111.554,Não,,
Breves/PA,Não,,,103.497,Não,,
Itaituba/PA,Não,,,101.395,Não,,
Redenção/PA,Não,,,86.326,Não,,
Moju/PA,Não,,,83.182,Não,,
Santana do Araguaia/PA,Não,,,74.419,Não,,
Oriximiná/PA,Não,,,74.016,Não,,
Santa Izabel/PA,Não,,,71.837,Não,,
Capanema/PA,Não,,,69.431,Não,,
Breu Branco/PA,Não,,,68.597,Não,,
Ipixuna do Pará/PA,Não,,,67.170,Não,,
Tome-Açu/PA,Não,,,64.604,Não,,
Novo Repartimento/PA,Não,,,65.106,Não,,
Igarapé-Miri/PA,Não,,,63.367,Não,,
Portel/PA,Não,,,62.945,Não,,
