Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Recife/PE,Sim,13/12/2019,04/05/2022,1.661.017,,,
Jaboatão dos Guararapes/PE,Sim,24/10/2019,,706.867,,,
Olinda/PE,Sim,03/03/2022,,393.115,,,
Petrolina/PE,Sim,12/12/2019,,354.317,,,
Paulista/PE,Sim,10/08/2022,,334.376,,,
Cabo de Santo Agostinho/PE,Sim,11/02/2020,,210.796,,,
Ipojuca/PE,Sim,12/04/2022,,99.101,,,
Serra Talhada/PE,Sim,19/04/2021,,87.467,,,
Gravatá/PE,Sim,27/12/2019,,85.309,,,
Araripina/PE,Sim,27/02/2022,17/03/2022,85.301,,,
Escada/PE,Sim,28/12/2021,,69.701,,,
Salgueiro/PE,Sim,26/04/2022,,61.249,,,
Buíque/PE,Sim,28/10/2021,,59.448,,,
Afogados da Ingazeira/PE,Sim,21/01/2021,,37.404,,,
Petrolândia/PE,Sim,04/03/2021,,37.246,,,
Cabrobó/PE,Sim,10/03/2023,,34.778,,,
Tamandaré/PE,Sim,15/04/2021,,23.852,,,
Rio Formoso/PE,Sim,25/03/2021,,23.719,,,
Caruaru/PE,Não,,,365.278,Não,,
Camaragibe/PE,Não,,,158.899,Não,,
Garanhuns/PE,Não,,,140.577,Não,,
Vitória de Santo Antão/PE,Não,,,139.583,Não,,
Igarassu/PE,Não,,,118.370,Não,,
São Lourenço da Mata/PE,Não,,,114.910,Não,,
Santa Cruz do Capibaribe/PE,Não,,,111.812,Não,,
Abreu e Lima/PE,Não,,,100.698,Não,,
Carpina/PE,Não,,,85.131,Não,,
Goiana/PE,Não,,,80.055,Não,,
Belo Jardim/PE,Não,,,76.930,Não,,
Arcoverde/PE,Não,,,74.822,Não,,
Pesqueira/PE,Não,,,67.735,Não,,
Surubim/PE,Não,,,65.647,Não,,
Ouricuri/PE,Não,,,64.358,Não,,
Moreno/PE,Não,,,63.792,Não,,
Palmares/PE,Não,,,63.745,Não,,
Bezerros/PE,Não,,,60.880,Não,,
São Bento do Una/PE,Não,,,60.042,Não,,
Paudalho/PE,Não,,,57.346,Não,,
Limoeiro/PE,Não,,,56.149,Não,,
Timbaúba/PE,Não,,,52.587,Não,,
Brejo da Madre de Deus/PE,Não,,,51.696,Não,,
Bom Conselho/PE,Não,,,48.975,Não,,
Ribeirão/PE,Não,,,47.813,Não,,
Toritama/PE,Não,,,47.088,Não,,
Sirinhaem/PE,Não,,,46.361,Não,,
Águas Belas/PE,Não,,,43.923,Não,,
Catende/PE,Não,,,43.778,Não,,
Barreiros/PE,Não,,,42.866,Não,,
Santa Maria da Boa Vista/PE,Não,,,42.266,Não,,
Lajedo/PE,Não,,,40.883,Não,,
Bom Jardim/PE,Não,,,40.038,Não,,
Bodocó/PE,Não,,,38.605,Não,,
Aliança/PE,Não,,,38.408,Não,,
Bonito/PE,Não,,,38.101,Não,,
Custódia/PE,Não,,,37.633,Não,,
São Caetano/PE,Não,,,37.488,Não,,
Água Preta/PE,Não,,,37.386,Não,,
Itambé/PE,Não,,,36.495,Não,,
Sertânia/PE,Não,,,36.189,Não,,
São José do Egito/PE,Não,,,34.210,Não,,
São José do Belmonte/PE,Não,,,34.082,Não,,
João Alfredo/PE,Não,,,33.570,Não,,
Floresta/PE,Não,,,33.488,Não,,
Vicência/PE,Não,,,32.897,Não,,
Nazaré da Mata/PE,Não,,,32.673,Não,,
Exu/PE,Não,,,31.709,Não,,
Gameleira/PE,Não,,,31.578,Não,,
Ipubi/PE,Não,,,31.515,Não,,
Trindade/PE,Não,,,31.103,Não,,
Glória do Goitá/PE,Não,,,30.847,Não,,
Ibimirim/PE,Não,,,29.585,Não,,
Taquaritinga do Norte/PE,Não,,,29.472,Não,,
Caetés/PE,Não,,,29.065,Não,,
Tabira/PE,Não,,,28.860,Não,,
Passira/PE,Não,,,28.856,Não,,
Tupanatinga/PE,Não,,,27.793,Não,,
Sanharó/PE,Não,,,27.308,Não,,
Pombos/PE,Não,,,27.204,Não,,
Itapissuma/PE,Não,,,27.144,Não,,
Ilha de Itamaracá/PE,Não,,,27.076,Não,,
Condado/PE,Não,,,26.755,Não,,
Tacaratu/PE,Não,,,26.439,Não,,
Panelas/PE,Não,,,26.438,Não,,
Quipapá/PE,Não,,,26.309,Não,,
Itaíba/PE,Não,,,26.268,Não,,
Lagoa Grande/PE,Não,,,26.090,Não,,
Macaparana/PE,Não,,,25.565,Não,,
Agrestina/PE,Não,,,25.240,Não,,
Canhotinho/PE,Não,,,24.743,Não,,
Cupira/PE,Não,,,24.237,Não,,
Inajá/PE,Não,,,24.034,Não,,
Orobó/PE,Não,,,23.985,Não,,
São João/PE,Não,,,23.002,Não,,
Altinho/PE,Não,,,22.996,Não,,
Amaraji/PE,Não,,,22.910,Não,,
Pedra/PE,Não,,,22.716,Não,,
Flores/PE,Não,,,22.612,Não,,
Feira Nova/PE,Não,,,22.360,Não,,
Parnamirim/PE,Não,,,22.198,Não,,
Manari/PE,Não,,,22.110,Não,,
Chã Grande/PE,Não,,,21.929,Não,,
São José da Coroa Grande/PE,Não,,,21.868,Não,,
Lagoa de Itaenga/PE,Não,,,21.490,Não,,
São Joaquim do Monte/PE,Não,,,21.439,Não,,
Vertentes/PE,Não,,,21.172,Não,,
Araçoiaba/PE,Não,,,20.936,Não,,
Riacho das Almas/PE,Não,,,20.744,Não,,
Belém do São Francisco/PE,Não,,,20.730,Não,,
Cachoeirinha/PE,Não,,,20.618,Não,,
Capoeiras/PE,Não,,,20.048,Não,,
Afrânio/PE,Não,,,19.981,Não,,
Carnaíba/PE,Não,,,19.666,Não,,
Iati/PE,Não,,,19.284,Não,,
Dormentes/PE,Não,,,19.246,Não,,
Serrita/PE,Não,,,19.226,Não,,
Camocim de São Félix/PE,Não,,,19.032,Não,,
