Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Teresina/PI,Sim,01/09/2020,868.075,,,
Parnaíba/PI,Não,,153.482,Não,,
Picos/PI,Não,,78.431,Não,,
Piripiri/PI,Não,,63.829,Não,,
Floriano/PI,Não,,60.025,Não,,
Barras/PI,Não,,47.185,Não,,
Campo Maior/PI,Não,,46.950,Não,,
União/PI,Não,,44.649,Não,,
Altos/PI,Não,,40.681,Não,,
Esperantina/PI,Não,,39.848,Não,,
José de Freitas/PI,Não,,39.457,Não,,
Pedro II/PI,Não,,38.778,Não,,
Oeiras/PI,Não,,37.085,Não,,
São Raimundo Nonato/PI,Não,,34.877,Não,,
Miguel Alves/PI,Não,,33.901,Não,,
Luís Correia/PI,Não,,30.558,Não,,
Piracuruca/PI,Não,,28.952,Não,,
Cocal/PI,Não,,27.901,Não,,
Batalha/PI,Não,,26.951,Não,,
Corrente/PI,Não,,26.771,Não,,
Bom Jesus/PI,Não,,25.584,Não,,
Luzilândia/PI,Não,,25.521,Não,,
Uruçuí/PI,Não,,21.746,Não,,
Canto do Buriti/PI,Não,,21.326,Não,,
Valença do Piauí/PI,Não,,20.940,Não,,
São João do Piauí/PI,Não,,20.720,Não,,
Paulistana/PI,Não,,20.583,Não,,
Buriti dos Lopes/PI,Não,,19.832,Não,,
Castelo do Piauí/PI,Não,,19.716,Não,,
Jaicós/PI,Não,,19.233,Não,,
Pio IX/PI,Não,,18.492,Não,,
Regeneração/PI,Não,,17.979,Não,,
São Miguel do Tapuio/PI,Não,,17.617,Não,,
Amarante/PI,Não,,17.609,Não,,
Água Branca/PI,Não,,17.525,Não,,
Inhuma/PI,Não,,15.330,Não,,
Simões/PI,Não,,14.664,Não,,
Palmeirais/PI,Não,,14.633,Não,,
Elesbão Veloso/PI,Não,,14.550,Não,,
Joaquim Pires/PI,Não,,14.396,Não,,
Alto Longá/PI,Não,,14.371,Não,,
São Pedro do Piauí/PI,Não,,14.356,Não,,
Demerval Lobão/PI,Não,,13.862,Não,,
Simplício Mendes/PI,Não,,12.778,Não,,
Porto/PI,Não,,12.646,Não,,
Pimenteiras/PI,Não,,12.150,Não,,
Baixa Grande do Ribeiro/PI,Não,,11.751,Não,,
Fronteiras/PI,Não,,11.690,Não,,
Itainópolis/PI,Não,,11.571,Não,,
Capitão de Campos/PI,Não,,11.471,Não,,
Curimatá/PI,Não,,11.461,Não,,
Avelino Lopes/PI,Não,,11.361,Não,,
Itaueira/PI,Não,,11.037,Não,,
Caracol/PI,Não,,11.009,Não,,
Matias Olimpio/PI,Não,,10.979,Não,,
Parnaguá/PI,Não,,10.846,Não,,
Gilbués/PI,Não,,10.698,Não,,
Cabeceiras do Piauí/PI,Não,,10.671,Não,,
Monte Alegre do Piauí/PI,Não,,10.618,Não,,
Monsenhor Gil/PI,Não,,10.563,Não,,
Guadalupe/PI,Não,,10.496,Não,,
Beneditinos/PI,Não,,10.479,Não,,
Cristino Castro/PI,Não,,10.464,Não,,
Sigefredo Pacheco/PI,Não,,10.074,Não,,
Anísio de Abreu/PI,Não,,9.994,Não,,
Ipiranga do Piauí/PI,Não,,9.863,Não,,
Dom Inocêncio/PI,Não,,9.574,Não,,
Ilha Grande/PI,Não,,9.487,Não,,
Francisco Santos/PI,Não,,9.423,Não,,
Murici dos Portelas/PI,Não,,9.258,Não,,
Queimada Nova/PI,Não,,9.041,Não,,
Redenção do Gurguéia/PI,Não,,8.814,Não,,
Nossa Senhora dos Remédios/PI,Não,,8.751,Não,,
Nazária/PI,Não,,8.632,Não,,
Lagoa Alegre/PI,Não,,8.610,Não,,
Marcolândia/PI,Não,,8.590,Não,,
