Município,Aprovou?,Aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Natal/RN,Sim,02/12/2021,02/06/2023,890.480,,,
Boa Saúde/RN,Sim,08/04/2022,,10.367,,,
Florânia/RN,Sim,07/04/2022,,9.772,,,
Mossoró/RN,Não,,,300.618,Não,,
Parnamirim/RN,Não,,,267.036,Não,,
São Gonçalo do Amarante/RN,Não,,,104.919,Não,,
Macaíba/RN,Não,,,82.828,Não,,
Ceará-Mirim/RN,Não,,,73.886,Não,,
Caicó/RN,Não,,,68.343,Não,,
Assu/RN,Não,,,58.384,Não,,
São José de Mipibu/RN,Não,,,44.566,Não,,
Currais Novos/RN,Não,,,42.652,Não,,
Santa Cruz/RN,Não,,,40.295,Não,,
Nova Cruz/RN,Não,,,37.554,Não,,
Apodi/RN,Não,,,35.904,Não,,
João Câmara/RN,Não,,,35.360,Não,,
Canguaretama/RN,Não,,,34.814,Não,,
Touros/RN,Não,,,33.716,Não,,
Macau/RN,Não,,,32.260,Não,,
Pau dos Ferros/RN,Não,,,30.802,Não,,
Extremoz/RN,Não,,,29.282,Não,,
Baraúna/RN,Não,,,29.112,Não,,
Nisia Floresta/RN,Não,,,28.266,Não,,
Areia Branca/RN,Não,,,28.156,Não,,
Goianinha/RN,Não,,,27.004,Não,,
Santo Antônio/RN,Não,,,24.422,Não,,
São Miguel/RN,Não,,,23.789,Não,,
Monte Alegre/RN,Não,,,22.698,Não,,
Parelhas/RN,Não,,,21.611,Não,,
Caraúbas/RN,Não,,,20.588,Não,,
Jucurutu/RN,Não,,,18.335,Não,,
São Paulo do Potengi/RN,Não,,,17.858,Não,,
Guamaré/RN,Não,,,16.261,Não,,
Tangará/RN,Não,,,16.008,Não,,
Lagoa Nova/RN,Não,,,15.880,Não,,
Ipanguaçu/RN,Não,,,15.759,Não,,
Poço Branco/RN,Não,,,15.646,Não,,
Pendências/RN,Não,,,15.411,Não,,
Jardim de Piranhas/RN,Não,,,15.044,Não,,
Upanema/RN,Não,,,14.937,Não,,
Alto do Rodrigues/RN,Não,,,14.923,Não,,
Pedro Velho/RN,Não,,,14.881,Não,,
Tibau do Sul/RN,Não,,,14.694,Não,,
Arez/RN,Não,,,14.526,Não,,
Ielmo Marinho/RN,Não,,,14.033,Não,,
Passa-e-Fica/RN,Não,,,13.667,Não,,
Alexandria/RN,Não,,,13.529,Não,,
Governador Dix-Sept Rosado/RN,Não,,,13.115,Não,,
São José do Campestre/RN,Não,,,12.901,Não,,
Brejinho/RN,Não,,,12.873,Não,,
Patu/RN,Não,,,12.861,Não,,
Vera Cruz/RN,Não,,,12.789,Não,,
Maxaranguape/RN,Não,,,12.714,Não,,
Jardim do Seridó/RN,Não,,,12.397,Não,,
Taipu/RN,Não,,,12.314,Não,,
Serra do Mel/RN,Não,,,12.225,Não,,
Santana do Matos/RN,Não,,,11.808,Não,,
Angicos/RN,Não,,,11.695,Não,,
Lajes/RN,Não,,,11.410,Não,,
Campo Redondo/RN,Não,,,11.363,Não,,
Cerro Corá/RN,Não,,,11.182,Não,,
Montanhas/RN,Não,,,11.166,Não,,
Acari/RN,Não,,,11.106,Não,,
São Tomé/RN,Não,,,11.051,Não,,
Afonso Bezerra/RN,Não,,,11.024,Não,,
Carnaubais/RN,Não,,,10.972,Não,,
Rio do Fogo/RN,Não,,,10.961,Não,,
Tenente Ananias/RN,Não,,,10.923,Não,,
Serra Caiada/RN,Não,,,10.646,Não,,
Grossos/RN,Não,,,10.541,Não,,
Umarizal/RN,Não,,,10.485,Não,,
Espírito Santo/RN,Não,,,10.463,Não,,
São Miguel do Gostoso/RN,Não,,,10.441,Não,,
Bom Jesus/RN,Não,,,10.323,Não,,
Luís Gomes/RN,Não,,,10.175,Não,,
Pureza/RN,Não,,,9.825,Não,,
Campo Grande/RN,Não,,,9.686,Não,,
Baía Formosa/RN,Não,,,9.373,Não,,
Jaçanã/RN,Não,,,9.341,Não,,
Martins/RN,Não,,,8.790,Não,,
Lagoa Salgada/RN,Não,,,8.348,Não,,
Marcelino Vieira/RN,Não,,,8.325,Não,,
Riachuelo/RN,Não,,,8.310,Não,,
Carnaúba dos Dantas/RN,Não,,,8.297,Não,,
São Rafael/RN,Não,,,8.183,Não,,
Serra Negra do Norte/RN,Não,,,8.105,Não,,
Cruzeta/RN,Não,,,7.968,Não,,
Portalegre/RN,Não,,,7.944,Não,,
Itajá/RN,Não,,,7.641,Não,,
Lagoa de Pedras/RN,Não,,,7.624,Não,,
Antônio Martins/RN,Não,,,7.162,Não,,
Doutor Severiano/RN,Não,,,7.068,Não,,
Jandaíra/RN,Não,,,6.907,Não,,
Lagoa d'Anta/RN,Não,,,6.851,Não,,
Porto do Mangue/RN,Não,,,6.605,Não,,
Pedro Avelino/RN,Não,,,6.591,Não,,
Caiçara do Norte/RN,Não,,,6.572,Não,,
São Vicente/RN,Não,,,6.476,Não,,
São João do Sabugi/RN,Não,,,6.221,Não,,
Elói de Souza/RN,Não,,,6.167,Não,,
Serrinha/RN,Não,,,6.128,Não,,
Tenente Laurentino Cruz/RN,Não,,,6.085,Não,,
Equador/RN,Não,,,6.064,Não,,
Felipe Guerra/RN,Não,,,6.009,Não,,
José da Penha/RN,Não,,,5.941,Não,,
Itaú/RN,Não,,,5.916,Não,,
São Pedro/RN,Não,,,5.889,Não,,
Serra de São Bento/RN,Não,,,5.739,Não,,
Encanto/RN,Não,,,5.697,Não,,
Santa Maria/RN,Não,,,5.689,Não,,
Sítio Novo/RN,Não,,,5.600,Não,,
Bento Fernandes/RN,Não,,,5.552,Não,,
Várzea/RN,Não,,,5.529,Não,,
Coronel Ezequiel/RN,Não,,,5.501,Não,,
Parazinho/RN,Não,,,5.307,Não,,
Janduís/RN,Não,,,5.228,Não,,
Rafael Fernandes/RN,Não,,,5.158,Não,,
