Município,Aprovou?,Data aprovação,Atualização,Atualização 2,População,Projeto?,Aprovado?,Sancionado?
Porto Alegre/RS,Sim,26/04/2021,21/07/2023,,1.492.530,,,
Caxias/RS,Sim,31/03/2021,,,517.451,,,
Canoas/RS,Sim,30/10/2019,,,348.208,,,
Pelotas/RS,Sim,13/06/2023,,,343.132,,,
Gravataí/RS,Sim,30/07/2020,,,285.564,,,
Santa Maria/RS,Sim,11/06/2021,06/06/2023,,283.677,,,
Viamão/RS,Sim,15/01/2020,,,256.302,,,
Novo Hamburgo/RS,Sim,16/08/2021,,,247.032,,,
São Leopoldo/RS,Sim,12/01/2023,,,238.648,,,
Rio Grande/RS,Sim,8/7/2021,11/10/2021,,211.965,,,
Alvorada/RS,Sim,30/06/2021,,,211.352,,,
Passo Fundo/RS,Sim,18/12/2019,,,204.722,,,
Sapucaia do Sul/RS,Sim,01/10/2020,11/10/2021,,142.508,,,
Santa Cruz do Sul/RS,Sim,01/12/2020,,,131.365,,,
Cachoeirinha/RS,Sim,4/3/2022,,,131.240,,,
Uruguaiana/RS,Sim,26/11/2021,,,126.866,,,
Bento Gonçalves/RS,Sim,04/09/2019,,,121.803,,,
Bagé/RS,Sim,23/01/2020,06/02/2023,,121.518,,,
Erechim/RS,Sim,14/07/2020,,,106.633,,,
Guaíba/RS,Sim,19/12/2019,,,98.239,,,
Lajeado/RS,Sim,31/12/2020,,,85.033,,,
Ijuí/RS,Sim,19/03/2020,25/01/2023,,83.475,,,
Esteio/RS,Sim,08/08/2019,26/10/2022,,83.279,,,
Cachoeira do Sul/RS,Sim,22/08/2022,,,81.869,,,
Sapiranga/RS,Sim,07/04/2021,,,80.037,,,
Santo Ângelo/RS,Sim,23/12/2020,04/10/2021,,77.544,,,
Santana do Livramento/RS,Sim,25/05/2023,,,76.321,,,
Santa Rosa/RS,Sim,19/04/2021,,,73.882,,,
Farroupilha/RS,Sim,19/12/2019,,,73.061,,,
Alegrete/RS,Sim,06/07/2021,,,73.028,,,
Venâncio Aires/RS,Sim,19/12/2019,,,72.373,,,
Campo Bom/RS,Sim,09/12/2020,,,69.458,,,
Vacária/RS,Sim,19/03/2021,,,66.916,,,
Montenegro/RS,Sim,27/07/2021,,,65.721,,,
Carazinho/RS,Sim,29/11/2021,20/06/2023,,62.413,,,
São Gabriel/RS,Sim,18/01/2022,,,62.187,,,
Camaquã/RS,Sim,02/03/2022,,,60.368,,,
São Borja/RS,Sim,08/05/2019,,,60.019,,,
Cruz Alta/RS,Sim,17/12/2019,,,59.922,,,
Taquara/RS,Sim,14/01/2020,,,57.584,,,
Canguçu/RS,Sim,15/12/2022,,,56.370,,,
Capão da Canoa/RS,Sim,17/06/2020,,,55.009,,,
Tramandaí/RS,Sim,30/11/2022,,,53.507,,,
Estância Velha/RS,Sim,10/05/2021,,,50.672,,,
Santiago/RS,Sim,19/09/2019,28/12/2022,03/01//2023,49.360,,,
Osório/RS,Sim,16/12/2019,03/05/2021,,46.815,,,
Marau/RS,Sim,02/12/2019,,,45.523,,,
Canela/RS,Sim,14/07/2022,,,45.488,,,
Panambi/RS,Sim,24/03/2021,07/12/2021,,44.583,,,
Santo Antônio da Patrulha/RS,Sim,10/03/2023,,,43.397,,,
Eldorado do Sul/RS,Sim,12/11/2019,02/06/2021,20/06/2023,41.902,,,
Rosário do Sul/RS,Sim,07/10/2021,,,39.314,,,
Torres/RS,Sim,21/12/2020,,,39.064,,,
Rio Pardo/RS,Sim,15/01/2021,,,38.265,,,
Dom Pedrito/RS,Sim,28/11/2019,,,38.222,,,
Portão/RS,Sim,29/12/2021,,,37.561,,,
Itaqui/RS,Sim,27/07/2020,,,37.489,,,
Igrejinha/RS,Sim,14/10/2021,,,37.340,,,
Gramado/RS,Sim,20/12/2019,,,36.555,,,
Garibaldi/RS,Sim,26/12/2019,27/10/2020,,35.794,,,
Estrela/RS,Sim,04/08/2021,,,34.669,,,
Teutônia/RS,Sim,18/12/2019,,,34.275,,,
Dois Irmãos/RS,Sim,09/06/2020,06/04/2023,,33.547,,,
Charqueadas/RS,Sim,18/05/2022,,,35.320,,,
Palmeira das Missões/RS,Sim,17/09/2019,,,32.967,,,
Frederico Westphalen/RS,Sim,19/12/2019,,,31.675,,,
Flores da Cunha/RS,Sim,18/09/2020,,,31.352,,,
Soledade/RS,Sim,24/03/2020,,,31.067,,,
Carlos Barbosa/RS,Sim,20/04/2022,,,30.630,,,
Nova Santa Rita/RS,Sim,05/05/2020,,,30.482,,,
Triunfo/RS,Sim,09/07/2020,,,30.159,,,
Três Coroas/RS,Sim,07/12/2020,,,28.948,,,
Nova Prata/RS,Sim,10/12/2019,,,28.021,,,
São José do Norte/RS,Sim,18/03/2021,,,27.866,,,
Lagoa Vermelha/RS,Sim,04/12/2020,,,27.751,,,
Vera Cruz/RS,Sim,26/07/2023,,,27.325,,,
Veranópolis/RS,Sim,19/11/2019,,,26.813,,,
Guaporé/RS,,07/12/2022,,,26.199,,,
São Sebastião do Caí/RS,Sim,14/07/2021,,,26.161,,,
Encruzilhada do Sul/RS,Sim,12/04/2023,,,26.039,,,
Ivoti/RS,Sim,15/10/2019,,,25.068,,,
Sarandi/RS,Sim,22/06/2021,,,25.024,,,
Tapejara/RS,Sim,19/04/2022,09/02/2023,,24.973,,,
Tupanciretã/RS,Sim,01/12/2020,,,24.182,,,
Três de Maio/RS,Sim,23/03/2022,,,23.846,,,
Três Passos/RS,Sim,23/11/2022,,,23.799,,,
Imbé/RS,Sim,11/12/2019,,,23.721,,,
São Sepé/RS,Sim,11/12/2019,,,23.492,,,
Encantado/RS,Sim,10/10/2022,,,23.047,,,
Quaraí/RS,Sim,01/06/2020,,,22.531,,,
São Francisco de Paula/RS,Sim,24/04/2020,,,21.871,,,
São Marcos/RS,Sim,22/07/2020,,,21.756,,,
Nova Petrópolis/RS,Sim,21/07/2020,,,21.156,,,
Arroio do Meio/RS,Sim,27/12/2021,,,21.121,,,
Butiá/RS,Sim,29/03/2023,,,20.963,,,
Piratini/RS,Sim,02/12/2021,,,20.743,,,
Ibirubá/RS,Sim,09/12/2021,,,20.474,,,
Horizontina/RS,Sim,30/04/2021,,,19.446,,,
Júlio de Castilhos/RS,Sim,25/08/2021,,,19.159,,,
Serafina Corrêa/RS,Sim,13/07/2022,,,18.074,,,
Não-Me-Toque/RS,Sim,13/12/2022,,,17.886,,,
Tapes/RS,Sim,28/07/2021,,,17.363,,,
