Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Rio de Janeiro/RJ,Sim,20/12/2021,16/02/2022,6.775.561,,,
São Gonçalo/RJ,Sim,17/03/2022,,1.098.357,,,
Duque de Caxias/RJ,Sim,02/02/2021,,924.624,,,
Niterói/RJ,Sim,21/12/2022,,515.317,,,
Campos dos Goytacazes/RJ,Sim,14/08/2019,22/09/2022,511.168,,,
Petrópolis/RJ,Sim,06/07/2022,,306.678,,,
Volta Redonda/RJ,Sim,18/06/2020,03/04/2023,273.988,,,
Macaé/RJ,Sim,02/11/2021,,261.501,,,
Magé/RJ,Sim,27/12/2019,,246.433,,,
Itaboraí/RJ,Sim,24/03/2020,,242.543,,,
Cabo Frio/RJ,Sim,01/06/2022,,230.378,,,
Angra dos Reis/RJ,Sim,28/10/2020,,207.044,,,
Nova Friburgo/RJ,Sim,20/07/2022,,191.158,,,
Mesquita/RJ,Sim,01/04/2022,,176.569,,,
Maricá/RJ,Sim,04/12/2019,,167.668,,,
Rio das Ostras/RJ,Sim,21/06/2021,,159.529,,,
Queimados/RJ,Sim,22/06/2022,02/08/2022,151.335,,,
Guapimirim/RJ,Sim,23/08/2021,,61.388,,,
Paracambi/RJ,Sim,03/11/2021,,52.683,,,
Casimiro de Abreu/RJ,Sim,05/09/2022,,45.864,,,
Paraty/RJ,Sim,10/04/2023,,43.680,,,
São Francisco de Itabapoana/RJ,Sim,09/12/2021,,42.214,,,
Iguaba Grande/RJ,Sim,12/01/2023,,29.344,,,
Miracema/RJ,Sim,29/08/2022,,27.134,,,
Quissamã/RJ,Sim,13/09/2019,,25.535,,,
Itaocara/RJ,Sim,16/09/2021,,23.211,,,
São José do Vale do Rio Preto/RJ,Sim,16/12/2022,,22.032,,,
Porto Real/RJ,Sim,15/02/2022,,20.254,,,
Areal/RJ,Sim,02/02/2021,22/05/2021,12.763,,,
Rio das Flores/RJ,Sim,19/11/2019,,9.344,,,
Araruama/RJ,Parcial,20/06/2023,,134.293,Não,,
Sumidouro/RJ,Parcial,03/01/2020,,15.709,Não,,
Duas Barras/RJ,Parcial,12/09/2019,,11.563,Não,,
Nova Iguaçu/RJ,Não,,,823.302,Não,,
Belford Roxo/RJ,Não,,,513.118,Não,,
São João do Meriti/RJ,Não,,,472.906,Não,,
Barra Mansa/RJ,Não,,,184.833,Não,,
Teresópolis/RJ,Não,,,184.240,Não,,
Nilopolis/RJ,Não,,,162.893,Não,,
Itaguaí/RJ,Não,,,136.547,Não,,
Resende/RJ,Não,,,132.312,Não,,
São Pedro da Aldeia/RJ,Não,,,106.049,Não,,
Japeri/RJ,Não,,,106.296,Não,,
Itaperuna/RJ,Não,,,104.354,Não,,
Barra do Piraí/RJ,Não,,,100.764,Não,,
Saquarema/RJ,Não,,,91.938,Não,,
Seropédica/RJ,Não,,,83.841,Não,,
Três Rios/RJ,Não,,,77.432,Não,,
Valença/RJ,Não,,,76.869,Não,,
Rio Bonito/RJ,Não,,,60.573,Não,,
Cachoeiras de Macacu/RJ,Não,,,59.652,Não,,
Mangaratiba/RJ,Não,,,45.941,PL 91/2021,,
Paraíba do Sul/RJ,Não,,,44.518,Não,,
Santo Antônio de Pádua/RJ,Não,,,42.594,Não,,
São Fidélis/RJ,Não,,,38.749,Não,,
Bom Jesus de Itabapoana/RJ,Não,,,37.306,Não,,
Vassouras/RJ,Não,,,37.083,Não,,
São João da Barra/RJ,Não,,,36.731,Não,,
Tanguá/RJ,Não,,,34.898,Não,,
Armação dos Buzios/RJ,Não,,,34.477,Não,,
Itatiaia/RJ,Não,,,32.312,Não,,
Arraial do Cabo/RJ,Não,,,30.827,Não,,
Piraí/RJ,Não,,,29.802,Não,,
Paty do Alferes/RJ,Não,,,27.942,Não,,
Bom Jardim/RJ,Não,,,27.779,Não,,
Miguel Pereira/RJ,Não,,,25.622,Não,,
Pinheral/RJ,Não,,,25.563,Não,,
Conceição de Macabu/RJ,Não,,,23.561,Não,,
Cordeiro/RJ,Não,,,22.152,Não,,
Silva Jardim/RJ,Não,,,21.775,Não,,
Cantagalo/RJ,Não,,,20.163,Não,,
Carmo/RJ,Não,,,19.161,Não,,
Porciúncula/RJ,Não,,,19.068,Não,,
Mendes/RJ,Não,,,18.681,Não,,
Rio Claro/RJ,Não,,,18.677,Não,,
Sapucaia/RJ,Não,,,18.270,Não,,
Carapebus/RJ,Não,,,16.859,Não,,
Cambuci/RJ,Não,,,15.521,Não,,
Italva/RJ,Não,,,15.387,Não,,
Natividade/RJ,Não,,,15.305,Não,,
Quatis/RJ,Não,,,14.562,Não,,
Engenheiro Paulo de Frontin/RJ,Não,,,14.138,Não,,
Cardoso Moreira/RJ,Não,,,12.818,Não,,
Aperibé/RJ,Não,,,12.036,Não,,
Varre-Sai/RJ,Não,,,11.208,Não,,
Trajano de Moraes/RJ,Não,,,10.653,Não,,
Santa Maria Madalena/RJ,Não,,,10.380,Não,,
São Sebastião do Alto/RJ,Não,,,9.416,Não,,
Comendador Levy Gasparian/RJ,Não,,,8.590,Não,,
Laje do Muriaé/RJ,Não,,,7.298,Não,,
São José de Ubá/RJ,Não,,,7.240,Não,,
Macuco/RJ,Não,,,5.646,Não,,
