Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Porto Velho/RO,Sim,27/12/2019,7/7/2022,539.354,,,
Vilhena/RO,Sim,07/04/2022,,102.211,,,
Cacoal/RO,Sim,17/02/2020,,85.893,,,
Pimenta Bueno/RO,Sim,03/05/2019,27/06/2022,37.098,,,
Campo Novo de Rondônia/RO,Sim,09/05/2022,,14.391,,,
Itapuã do Oeste/RO,Sim,08/09/2020,,10.819,,,
Ji-Paraná/RO,Não,,,130.009,Não,,
Ariquemes/RO,Não,,,111.148,Não,,
Rolim de Moura/RO,Não,,,55.407,Não,,
Jaru/RO,Não,,,51.469,Não,,
Guajará-Mirim/RO,Não,,,46.556,Não,,
Machadinho d'Oeste/RO,Não,,,41.724,Não,,
Buritis/RO,Não,,,40.356,Não,,
Ouro Preto do Oeste/RO,Não,,,35.737,Não,,
Espigão d'Oeste/RO,Não,,,33.009,Não,,
Nova Mamoré/RO,Não,,,32.184,Não,,
Candeias do Jamari/RO,Não,,,28.068,Não,,
Cujubim/RO,Não,,,27.131,Não,,
São Miguel do Guaporé/RO,Não,,,23.147,Não,,
Alta Floresta d'Oeste/RO,Não,,,22.516,Não,,
Alto Paraíso/RO,Não,,,22.258,Não,,
São Francisco do Guaporé/RO,Não,,,21.088,Não,,
Nova Brasilandia d'Oeste/RO,Não,,,20.504,Não,,
Costa Marques/RO,Não,,,19.255,Não,,
Presidente Médici/RO,Não,,,18.165,Não,,
Monte Negro/RO,Não,,,16.158,Não,,
Cerejeiras/RO,Não,,,16.088,Não,,
Colorado do Oeste/RO,Não,,,15.213,Não,,
Alvorada d'Oeste/RO,Não,,,13.807,Não,,
Alto Alegre dos Parecis/RO,Não,,,13.268,Não,,
Seringueiras/RO,Não,,,11.846,Não,,
Chupinguaia/RO,Não,,,11.755,Não,,
Vale do Anari/RO,Não,,,11.545,Não,,
Urupá/RO,Não,,,11.081,Não,,
Mirante da Serra/RO,Não,,,10.691,Não,,
Theobroma/RO,Não,,,10.348,Não,,
Ministro Andreazza/RO,Não,,,9.461,Não,,
Novo Orizonte do Oeste/RO,Não,,,8.125,Não,,
Governador Jorge Teixeira/RO,Não,,,7.130,Não,,
Corumbiara/RO,Não,,,7.052,Não,,
Nova União/RO,Não,,,6.822,Não,,
Vale do Paraíso/RO,Não,,,6.490,Não,,
Parecis/RO,Não,,,6.319,Não,,
Cacaulândia/RO,Não,,,6.307,Não,,
Santa Luzia d'Oeste/RO,Não,,,5.942,Não,,
Cabixi/RO,Não,,,5.067,Não,,
