Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?
Boa Vista/RR,Sim,12/07/2022,10/01/2023,419.652,,,
Uiramutã/RR,Sim,02/12/2021,,11.014,,,
São João da Baliza/RR,Sim,30/06/2022,,8.492,,,
Rorainópolis/RR,Não,,,31.387,Não,,
Caracaraí/RR,Não,,,22.635,Não,,
Pacaraima/RR,Não,,,20.108,Não,,
Cantá/RR,Não,,,19.257,Não,,
Mucajaí/RR,Não,,,18.482,Não,,
Alto Alegre/RR,Não,,,15.249,Não,,
Amajari/RR,Não,,,13.561,Não,,
Bonfim/RR,Não,,,12.701,Não,,
Iracema/RR,Não,,,12.637,Não,,
Normandia/RR,Não,,,11.772,Não,,
Caroebe/RR,Não,,,10.595,Não,,
São Luiz/RR,Não,,,8.232,Não,,
