Município,Aprovou?,Data aprovação,Atualização,Atualização 2,População,Projeto?,Aprovado?,Sancionado?
Joinville/SC,Sim,19/09/2022,,,597.658,,,
Florianópolis/SC,Sim,15/10/2020,22/03/2022,,508.826,,,
Blumenau/SC,Sim,28/04/2022,07/12/2022,,361.855,,,
São José/SC,Sim,12/09/2022,,,250.181,,,
Chapecó/SC,Sim,02/12/2019,26/05/2023,,224.013,,,
Criciúma/SC,Sim,26/12/2019,,,217.311,,,
Jaraguá do Sul/SC,Sim,20/12/2019,18/01/2023,17/07/2023,181.173,,,
Palhoça/SC,Sim,26/01/2023,05/04/2023,,175.272,,,
Lages/SC,Sim,25/11/2021,,,157.349,,,
Balneário Camboriú/SC,Sim,24/11/2020,25/01/2021,,145.796,,,
Brusque/SC,Sim,29/11/2019,19/05/2021,,137.689,,,
Tubarão/SC,Sim,22/02/2021,10/01/2022,,106.422,,,
Navegantes/SC,Sim,12/05/2021,,,83.626,,,
Caçador/SC,Sim,04/03/2021,13/07/2022,,79.313,,,
São Bento do Sul/SC,Sim,16/12/2019,14/12/2022,,75.520,,,
Concórdia/SC,Sim,29/11/2022,,,75.167,,,
Indaial/SC,Sim,05/03/2020,25/08/2022,,70.900,,,
Biguaçu/SC,Sim,21/09/2020,,,70.471,,,
Araranguá/SC,Sim,10/12/2020,,,68.867,,,
Itapema/SC,Sim,31/10/2022,,,67.338,,,
Gaspar/SC,Sim,19/08/2022,,,62.618,,,
Camboriú/SC,Sim,09/04/2021,,,62.361,,,
Rio do Sul/SC,Sim,19/12/2022,,,61.198,,,
Mafra/SC,Sim,16/07/2020,25/10/2022,,56.561,,,
São Francisco do Sul/SC,Sim,29/07/2020,15/09/2021,,54.751,,,
Xanxerê/SC,Sim,08/06/2022,,,51.642,,,
Canoinhas/SC,Sim,04/03/2022,,,51.631,,,
Guaramirim/SC,Sim,27/06/2022,,,45.797,,,
Imbituba/SC,Sim,27/04/2020,,,45.711,,,
Timbó/SC,Sim,12/09/2022,,,44.977,,,
Laguna/SC,Sim,01/04/2022,,,44.316,,,
Rio Negrinho/SC,Sim,10/05/2022,,,42.495,,,
Araquari/SC,Sim,20/01/2023,,,40.890,,,
São Miguel do Oeste/SC,Sim,27/05/2019,,,40.868,,,
Curitibanos/SC,Sim,20/12/2019,,,39.893,,,
São João Batista/SC,Sim,06/09/2022,,,39.719,,,
Tijucas/SC,Sim,25/1/2023,,,39.155,,,
Fraiburgo/SC,Sim,26/11/2020,,,36.584,,,
Porto União/SC,Sim,20/12/2022,,,35.543,,,
Penha/SC,Sim,14/10/2022,,,34.022,,,
Joaçaba/SC,Sim,23/07/2019,,,30.684,,,
Barra Velha/SC,Sim,07/10/2022,,,30.539,,,
Xaxim/SC,Sim,29/01/2021,,,29.254,,,
Forquilhinha/SC,Sim,26/12/2019,,,27.621,,,
Maravilha/SC,Sim,24/10/2022,,,26.463,,,
Ituporanga/SC,Sim,23/11/2022,,,25.619,,,
Capivari de Baixo/SC,Sim,26/10/2021,,,25.177,,,
Guabiruba/SC,Sim,22/04/2022,,,24.922,,,
Garopaba/SC,Sim,20/12/2019,,,24.070,,,
Orleans/SC,Sim,10/08/2021,,,23.161,,,
Capinzal/SC,Sim,14/06/2022,,,23.218,,,
Porto Belo/SC,Sim,23/12/2020,,,22.466,,,
Itaiópolis/SC,Sim,18/11/2022,22/11/2022,,21.889,,,
Itapoá/SC,Sim,10/06/2021,,,21.766,,,
Bombinhas/SC,Sim,14/04/2020,07/01/2021,,20.889,,,
Pinhalzinho/SC,Sim,11/12/2020,,,20.712,,,
Jaguaruna/SC,Sim,14/11/2022,,,20.547,,,
Três Barras/SC,Sim,08/06/2022,,,19.455,,,
Ibirama/SC,Sim,05/11/2021,,,19.238,,,
Otacílio Costa/SC,Sim,05/10/2021,,,19.201,,,
Garuva/SC,Sim,03/12/2019,,,18.816,,,
Taió/SC,Sim,27/10/2021,27/01/2022,,18.576,,,
Morro da Fumaça/SC,Sim,21/11/2019,,,18.095,,,
Abelardo Luz/SC,Sim,12/12/2019,,,18.015,,,
Pouso Redondo/SC,Sim,28/06/2022,,,17.965,,,
Seara/SC,Sim,22/06/2022,,,17.610,,,
Itapiranga/SC,Sim,12/12/2022,,,17.139,,,
Corupá/SC,Sim,06/04/2022,,,16.300,,,
Nova Veneza/SC,Sim,10/08/2022,,,15.515,,,
Lauro Müller/SC,Sim,17/08/2022,,,15.380,,,
Nova Trento/SC,Sim,18/11/2021,,,15.010,,,
São José do Cedro/SC,Sim,18/01/2020,,,13.811,,,
Luiz Alves/SC,Sim,07/12/2022,07/03/2023,,13.347,,,
Turvo/SC,Sim,22/12/2021,,,13.080,,,
