Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Aracaju/SE ,Sim,20/04/2022,672.614,,,
Umbaúba/SE,Sim,23/12/2019,25.800,,,
Indiaroba/SE,Sim,04/05/2023,18.337,,,
Lagarto/SE,Parcial,08/05/2023,105.221,,,
Nossa Senhora do Socorro/SE,Não,,187.733,Não,,
Itabaiana/SE,Não,,96.142,Não,,
São Cristóvão/SE,Não,,91.093,Não,,
Estância/SE,Não,,69.556,Não,,
Tobias Barreto/SE,Não,,52.861,Não,,
Itabaianinha/SE,Não,,42.399,Não,,
Simão Dias/SE,Não,,40.838,Não,,
Nossa Senhora da Glória/SE,Não,,37.324,Não,,
Poço Redondo/SE,Não,,35.461,Não,,
Itaporanga D'Ajuda/SE,Não,,35.054,Não,,
Capela/SE,Não,,34.808,Não,,
Barra dos Coqueiros/SE,Não,,31.439,Não,,
Canindé de São Francisco/SE,Não,,30.894,Não,,
Laranjeiras/SE,Não,,30.327,Não,,
Propriá/SE,Não,,29.756,Não,,
Porto da Folha/SE,Não,,28.788,Não,,
Boquim/SE,Não,,26.980,Não,,
Nossa Senhora das Dores/SE,Não,,26.957,Não,,
Poço Verde/SE,Não,,24.003,Não,,
Carira/SE,Não,,22.393,Não,,
Aquidabã/SE,Não,,21.796,Não,,
Salgado/SE,Não,,20.051,Não,,
Riachão dos Dantas/SE,Não,,19.813,Não,,
Japaratuba/SE,Não,,19.067,Não,,
Ribeirópolis/SE,Não,,18.891,Não,,
Areia Branca/SE,Não,,18.825,Não,,
Neópolis/SE,Não,,18.688,Não,,
Campo do Brito/SE,Não,,18.325,Não,,
Cristinápolis/SE,Não,,18.181,Não,,
Maruim/SE,Não,,17.328,Não,,
Carmópolis/SE,Não,,17.232,Não,,
Frei Paulo/SE,Não,,15.688,Não,,
Monte Alegre de Sergipe/SE,Não,,15.315,Não,,
Pacatuba/SE,Não,,14.650,Não,,
Santa Luzia do Itanhi/SE,Não,,14.205,Não,,
Tomar do Geru/SE,Não,,13.534,Não,,
Japoatã/SE,Não,,13.422,Não,,
Malhador/SE,Não,,12.689,Não,,
Santo Amaro das Brotas/SE,Não,,12.200,Não,,
Gararu/SE,Não,,11.599,Não,,
Moita Bonita/SE,Não,,11.361,Não,,
São Domingos/SE,Não,,11.276,Não,,
Rosário do Catete/SE,Não,,11.158,Não,,
Riachuelo/SE,Não,,10.354,Não,,
Arauá/SE,Não,,10.056,Não,,
Pedrinhas/SE,Não,,9.727,Não,,
Pirambu/SE,Não,,9.436,Não,,
Siriri/SE,Não,,9.046,Não,,
Nossa Senhora Aparecida/SE,Não,,8.822,Não,,
Ilha das Flores/SE,Não,,8.522,Não,,
Brejo Grande/SE,Não,,8.396,Não,,
Santana do São Francisco/SE,Não,,7.906,Não,,
Muribeca/SE,Não,,7.653,Não,,
Macambira/SE,Não,,7.002,Não,,
Pinhão/SE,Não,,6.678,Não,,
Nossa Senhora de Lourdes/SE,Não,,6.509,Não,,
Cedro de São João/SE,Não,,5.929,Não,,
Graccho Cardoso/SE,Não,,5.831,Não,,
Feira Nova/SE,Não,,5.617,Não,,
Divina Pastora/SE,Não,,5.290,Não,,
